,index,author,name,line,lemmed_line,name
137,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
138,8,Александр Сумароков,В роще девки гуляли...,"Девку горесть морила,",девка горесть морить,В роще девки гуляли...
139,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
140,8,Александр Сумароков,В роще девки гуляли...,Девка тут говорила:,девка тут говорить,В роще девки гуляли...
141,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
142,8,Александр Сумароков,В роще девки гуляли...,"""Я лишилася друга.",я лишилася друг,В роще девки гуляли...
143,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
144,8,Александр Сумароков,В роще девки гуляли...,"Вянь, трава чиста луга,",вянуть трава чистый луг,В роще девки гуляли...
145,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
146,8,Александр Сумароков,В роще девки гуляли...,"Не всходи, месяц ясный,",не всходить месяц ясный,В роще девки гуляли...
147,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
148,8,Александр Сумароков,В роще девки гуляли...,"Не свети ты, день красный,",не светить ты день красный,В роще девки гуляли...
149,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
150,8,Александр Сумароков,В роще девки гуляли...,"Не плещите вы, воды!",не плескать вы вода,В роще девки гуляли...
151,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
152,8,Александр Сумароков,В роще девки гуляли...,"Не пойду в короводы,",не пойти в коровод,В роще девки гуляли...
153,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
154,8,Александр Сумароков,В роще девки гуляли...,"Не нарву я цветочков,",не нарывать я цветочек,В роще девки гуляли...
155,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
156,8,Александр Сумароков,В роще девки гуляли...,Не сплету я веночков.,не сплетать я веночек,В роще девки гуляли...
157,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
158,8,Александр Сумароков,В роще девки гуляли...,"Я веселья не знаю,",я веселие не знать,В роще девки гуляли...
159,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
160,8,Александр Сумароков,В роще девки гуляли...,"Друг, тебя вспоминаю",друг ты вспоминать,В роще девки гуляли...
161,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
162,8,Александр Сумароков,В роще девки гуляли...,Я и денно и ночно.,я и денно и ночно,В роще девки гуляли...
163,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
164,8,Александр Сумароков,В роще девки гуляли...,В день и в ночь сердцу тошно.,в день и в ночь сердце тошно,В роще девки гуляли...
165,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
166,8,Александр Сумароков,В роще девки гуляли...,Я любила сердечно,я любить сердечно,В роще девки гуляли...
167,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
168,8,Александр Сумароков,В роще девки гуляли...,И любить буду вечно.,и любить быть вечно,В роще девки гуляли...
169,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
170,8,Александр Сумароков,В роще девки гуляли...,"Сыщешь ты дорогую,",сыскать ты дорогой,В роще девки гуляли...
171,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
172,8,Александр Сумароков,В роще девки гуляли...,Отлучився - другую,отлучився другой,В роще девки гуляли...
173,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
174,8,Александр Сумароков,В роще девки гуляли...,"Сыщешь милу, прекрасну",сыскать мила прекрасный,В роще девки гуляли...
175,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
176,8,Александр Сумароков,В роще девки гуляли...,И забудешь несчастну.,и забывать несчастнуть,В роще девки гуляли...
177,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
178,8,Александр Сумароков,В роще девки гуляли...,"Та прекраснее будет,",тот прекрасно быть,В роще девки гуляли...
179,8,Александр Сумароков,В роще девки гуляли...,Калина я пр.,калина я пр,В роще девки гуляли...
180,8,Александр Сумароков,В роще девки гуляли...,Да тебя позабудет.,да ты позабывать,В роще девки гуляли...
181,8,Александр Сумароков,В роще девки гуляли...,Калина я пр.,калина я пр,В роще девки гуляли...
182,8,Александр Сумароков,В роще девки гуляли...,"Ах, а я не забуду,",ах а я не забывать,В роще девки гуляли...
183,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
184,8,Александр Сумароков,В роще девки гуляли...,Сколько жить я ни буду.,сколько жить я ни быть,В роще девки гуляли...
185,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
186,8,Александр Сумароков,В роще девки гуляли...,Не пойдут быстры реки,не пойти быстрый река,В роще девки гуляли...
187,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
188,8,Александр Сумароков,В роще девки гуляли...,Ко источнику ввеки.,ко источник ввеки,В роще девки гуляли...
